Continent,Country,Temp_1995,Temp_1996,Temp_1997,Temp_1998,Temp_1999,Temp_2000,Temp_2001,Temp_2002,Temp_2003,Temp_2004,Temp_2005,Temp_2006,Temp_2007,Temp_2008,Temp_2009,Temp_2010,Temp_2011,Temp_2012,Temp_2013,Temp_2014,Temp_2015,Temp_2016,Temp_2017,Temp_2018,Temp_2019,Temp_2020,CO2_1995,CO2_1996,CO2_1997,CO2_1998,CO2_1999,CO2_2000,CO2_2001,CO2_2002,CO2_2003,CO2_2004,CO2_2005,CO2_2006,CO2_2007,CO2_2008,CO2_2009,CO2_2010,CO2_2011,CO2_2012,CO2_2013,CO2_2014,CO2_2015,CO2_2016,CO2_2017,CO2_2018,CO2_2019,CO2_2020
Europe,Romania,51.0082191780822,50.435792349726775,50.346575342465776,51.84944751381224,53.31675824175825,53.82759562841522,52.98794520547949,52.83822714681441,51.93983516483516,51.918032786885306,51.4909589041096,52.44986301369866,54.72390109890109,53.61593406593409,53.77445054945052,52.78547945205481,52.03041095890415,53.758469945355216,53.59835616438359,53.22829670329669,54.5307692307692,53.70248618784526,53.39972602739727,54.53287292817682,55.58495821727023,45.7410447761194,5.32835749177734,5.49099774685039,5.03677001015076,4.42137908408918,3.78111644514695,3.96574499873479,4.30240959119319,4.31343122586801,4.54884198931637,4.44422058286346,4.44110220202597,4.68318505069417,4.63193427068988,4.6455195583769,3.96215792355729,3.83278482882614,4.17170285108923,4.08034984483774,3.60747135176666,3.5933033029971,3.69982946782982,3.63334838574668,3.78830872775473,3.86106171468889,3.81706295716296,3.56413750145988
Asia,Saudi Arabia,78.53945205479458,79.54972527472518,78.41150684931499,80.72229916897511,80.98859890109897,79.92759562841528,80.27928669410154,79.64903047091417,79.96598079561039,79.54030054644814,79.6413698630137,80.4412328767123,80.75618131868134,80.3431318681318,81.02815934065936,81.36917808219172,79.64326923076932,80.20662068965525,79.79191780821922,80.68038674033141,82.52936962750722,80.73825966850826,81.42293956043957,82.04847222222209,81.6639275766017,70.97752808988763,10.8439859542586,11.2132540076702,11.0376436356881,11.4249791672569,11.4004938680588,11.5863127738441,11.5043474059887,12.0340452579772,12.3031481310381,12.6739850141629,12.9231002796827,13.2149871153262,13.4324426740113,14.2037535472172,14.2722088631653,15.1683862693943,15.3813984934801,15.9780157664397,15.9839190651263,16.8252361265938,17.2577930743373,16.795103103967,16.0777919021258,15.0655004937014,14.7030166496769,14.2665853675408
Africa,Senegal,75.8230136986301,75.73934426229506,76.78021978021982,77.05263157894731,74.9716253443526,75.59173553719016,76.93041095890412,75.93826815642463,75.94383561643835,76.17431693989074,77.35369863013693,76.30136986301369,76.26895604395597,77.14285714285714,75.65521978021971,77.87232876712325,76.56438356164385,76.36202185792351,76.58082191780818,76.05357142857137,76.6027472527472,76.80856353591155,77.29178082191781,74.9913407821229,76.44707520891365,73.61268656716415,0.319854283970414,0.331014359485009,0.355188217163954,0.388424110670315,0.41785865453881,0.418753072739914,0.448318363393458,0.449820498087114,0.42995814654918,0.503818644729528,0.516326824254694,0.494469381190578,0.536334335852473,0.542081907505722,0.546632566433421,0.560744784507668,0.588029711367301,0.563383773056991,0.589383332771876,0.613587044752342,0.64679457579979,0.686906342711816,0.646584895307648,0.65339707602786,0.768574983933597,0.649800561203009
Africa,Sierra Leone,82.936,81.35058823529417,82.41333333333333,,,,,81.88181818181818,81.21272189349118,81.85826086956527,82.05566343042071,81.92056074766356,81.52429577464784,81.9597315436241,80.99904458598724,82.50833333333338,81.27777777777774,,,,,,,,,,0.0546234646400945,0.0714684970453401,0.0520314513324319,0.0556632340631127,0.0440656112818691,0.0727083613742993,0.0911038200603818,0.0968072102695019,0.102861066357535,0.0962530874271167,0.0785630406377665,0.101656277851772,0.0847257433412755,0.0852753141592485,0.08271774271619,0.0870322019147085,0.111139929087614,0.125902488986294,0.148000124625638,0.159312379983553,0.148261607024579,0.156233465747467,0.145879585519628,0.132764621949018,0.129094346244259,0.127277607278142
Asia,Singapore,81.75616438356167,81.63715846994529,82.96082191780825,83.12022160664812,81.6032967032967,81.57404371584707,81.70849315068493,82.60554016620505,82.0763736263736,82.23989071038253,82.51369863013694,82.0432876712329,81.65934065934064,81.56136986301372,82.37774725274723,82.67616438356166,81.75369863013697,81.70792349726776,81.92273972602752,82.36153846153844,82.97472527472529,83.29530386740333,81.98821917808219,82.3354570637119,83.32144846796658,83.0589552238806,10.6630262510548,10.4939270505058,10.0530078992887,9.43343281864263,9.54906418054509,10.4564750699312,10.1573654208833,9.88776206611669,9.27322321770106,9.50851808545158,8.65059982249361,8.44547089368866,8.34372321486362,7.93975115902894,7.78571060513801,8.35450837270906,8.63611004366003,8.22453047443198,8.13316955483092,8.11713717182074,8.20810904856042,8.0198912735455,8.43229982682534,8.01821207673574,7.91841038479591,7.68668370206727
Africa,South Africa,61.338904109589,60.580601092896195,61.75150684931501,61.858448753462625,63.13159340659342,62.618032786885216,62.14465753424663,61.86371191135735,62.158791208791165,62.672131147541,62.09616438356167,62.43095890410961,62.56115702479333,62.5684065934066,63.24368131868126,62.76328767123285,62.468767123287634,62.616393442622886,62.70191780821919,63.29807692307688,62.93278236914599,63.36685082872926,62.64630136986301,62.820833333333354,63.06378830083567,67.01940298507462,6.00761595417314,6.13600232844307,6.37262877583789,6.45982351193617,6.00178614406945,6.07655317191499,6.78372306044453,6.95051357369806,7.33895617266971,7.82476407533056,7.70429784499698,7.67271219877509,7.94385857423182,8.44664968496897,7.90204894086135,8.21761222731227,7.8080537418251,8.03464925875575,8.11643495398564,8.19115252745267,7.60718852417825,7.54458957113285,7.68370781068603,7.66737702463575,7.68890762322173,6.68756314737781
Europe,Spain,60.512968036529706,59.12140255009099,60.8254794520548,59.663157894736834,59.36190476190475,58.68360655737711,58.61369863013699,59.49556786703598,61.50411334552112,60.2032786885246,60.363926940639246,60.82091324200917,58.47225274725284,58.89945054945055,60.22637362637365,58.78000000000003,60.99899543378992,60.145081967212995,59.63835616438356,61.477838827838895,61.07179487179492,60.63360957642726,60.72456621004558,60.44106813996322,60.58841519925855,53.832338308457715,6.05596106137214,5.76871531135287,6.20617334794337,6.36979483813806,6.89086491589161,7.23021305731058,7.21625035262802,7.54867340494412,7.55334174258838,7.81792835567954,8.02919743143422,7.69812924965131,7.84232084677752,7.05647934920114,6.21468704771263,5.88576349343324,5.89332917610638,5.77854920958231,5.22940078672168,5.20600921471327,5.5388552164426,5.34058533869093,5.68159077854133,5.52105983547843,5.13179880095904,4.2795945712141
Asia,Sri Lanka,81.84747191011242,81.1836206896552,81.53136531365303,82.82164634146338,81.08655172413792,81.01999999999995,81.06988950276246,80.8658333333334,81.38547945205484,81.03633879781414,81.1827397260274,81.15287671232879,81.42445054945055,81.01404958677682,81.54093406593402,81.56219178082188,81.48438356164381,81.52307692307687,81.2720338983051,81.3501377410468,81.60219780219775,82.37817679558015,81.67479452054798,80.65487465181066,81.84401114206132,83.14925373134332,0.319976727364909,0.45601294932036,0.45208110976332,0.463794713998827,0.508628331749097,0.582056032020245,0.573353188576805,0.595749806639807,0.643018404221481,0.660231679843304,0.710810981430899,0.62428078801025,0.67691785132022,0.631515599480874,0.6000934359648,0.6324486029673,0.73875310927848,0.829817672208316,0.683729265092783,0.821974874404746,0.901775002944458,1.08130995719399,1.0759613709386,1.00093677895708,1.07452644131542,0.99668324284867
South America,Suriname,79.67610062893075,79.40278637770902,78.90559701492533,79.83292682926832,79.05375,79.7609375,79.53850931677017,79.87058823529406,81.90687499999999,81.23790849673203,80.12056338028171,79.65164835164838,79.50090634441085,79.47342657342661,79.58339768339769,80.55172413793103,79.97371428571434,79.42404371584702,79.11671232876714,79.4738292011019,79.54120879120877,80.08991097922852,79.578021978022,79.2220963172805,79.84428969359327,79.22985074626867,4.80467022716288,4.75295614351312,4.70639675459883,4.61598027716357,4.56936144565509,3.09066008626341,3.11977578714551,2.25083019614014,2.44940251697169,2.72823421574234,3.26849017860602,2.92950693743379,2.67315217844249,2.72595320055887,2.67926820460493,3.19526443012013,3.53661893774473,4.3748107455327,4.06032836419025,4.59905701777483,4.73365480689865,5.08189999879612,4.16014391746191,3.61542154063819,4.42581305045302,4.28507655687612
Europe,Sweden,44.551232876712334,43.33333333333337,45.30821917808218,44.05750000000001,47.086813186813224,47.27868852459015,45.73342465753424,46.59138888888885,46.08044077134984,45.04726775956285,45.6309589041096,46.569041095890405,46.294230769230744,46.86821917808219,45.21923076923077,42.040547945205475,46.610958904109566,44.27431693989073,45.18109589041101,47.06181318681319,46.572527472527426,45.876519337016575,45.47041095890408,47.06786703601107,46.57298050139274,39.836567164179115,6.5969528054969,7.19911937543703,6.48668300086524,6.59400874977149,6.46485827186072,6.00505471697879,5.90125180418977,6.05310411544794,6.16223362899073,5.95909437572406,5.54650873817718,5.36698124168204,5.14361901913536,4.99187766286243,4.59865903318971,5.11674720514525,4.70430712060359,4.41169765995117,4.2069276640016,4.02150965696553,3.99217853401293,3.89911000460038,3.79492404723228,3.52974394445168,3.40159396635064,3.24298914312747
